,Star_name,Distance,Mass,Radius,Gravity
229,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,3.9624215729545515e-10
230,2MASS J18432213+4040209,46.0,0.09164044800000001,0.12537086,3.89116991972558e-10
231,2MASS J20004841-7523070,105.0,0.023864700000000003,0.19319444,4.2672976292825755e-11
232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,3.011230425707775e-10
233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,4.059067942581867e-10
234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,4.0010812576878393e-10
235,PSO J318.5−22,80.0,0.006204822,0.15722739,1.6751708969385478e-11
236,HB 2124-4228,113.0,0.08973127199999999,0.12434323,3.873341038584838e-10
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,3.011230425707775e-10
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,3.3854852392674146e-10
239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,7.503225921207518e-11
240,2MASSW J2208136+292121,154.0,0.025773876,0.14489583,8.193211448222545e-11
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,3.754810901732952e-10
242,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659722,2.867624006877892e-10
243,2MASS J22373255+3922398,64.0,0.06968492400000001,0.10687352,4.071784697072309e-10
244,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256427,4.3504126168195664e-11
245,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284057,7.493940930230778e-11
246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,4.056797193084415e-11
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,3.9454388620760925e-10
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,4.062240347697692e-10
249,WISE 0410+1502,20.0,0.005727528000000001,0.12023271,2.64428432889526e-11
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,5.130046510522564e-12
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,4.177932615217822e-12
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.447107096961006e-10
